clean_symbol,token,lotsize,tick_size
PLASTIBLEN,13920,1,1.000000
ABSLBANETF,13987,1,1.000000
ASMS,14064,1,1.000000
SAGCEM,14068,1,1.000000
GLOBAL,1415,1,1.000000
HUBTOWN,14203,1,1.000000
GOLDETF,14286,1,1.000000
VIYASH,14296,1,1.000000
GODREJAGRO,144,1,5.000000
POCL,14385,1,10.000000
KIRLFER,14466,1,5.000000
THEMISMED,14485,1,1.000000
ALPHAGEO,14597,1,1.000000
CHEMBOND,14618,1,1.000000
ADVANIHOTR,14745,1,1.000000
041NSETEST,14755,1,5.000000
071NSETEST,14764,1,5.000000
081NSETEST,14767,1,5.000000
AKI,14890,1,1.000000
RBA,1494,1,1.000000
MOTILALOFS,14947,1,5.000000
BAJAJELEC,15034,1,5.000000
AVALON,15058,1,5.000000
KAUSHALYA,15136,1,5.000000
KALYANIFRG,15156,1,5.000000
PATINTLOG,15219,1,1.000000
JKIL,15266,1,5.000000
SADHNANIQ,15343,1,1.000000
GOLDADD,15356,1,1.000000
VGUARD,15362,1,5.000000
NESCO,15409,1,10.000000
PIGL,15716,1,1.000000
MGEL,1593,1,1.000000
CCAVENUE,16249,1,1.000000
BECTORFOOD,1628,1,1.000000
MKPL,16736,1,1.000000
ALKALI,16959,1,1.000000
PATANJALI,17029,1,5.000000
HMAAGRO,17053,1,1.000000
CROMPTON,17094,1,1.000000
ARMANFIN,17263,1,10.000000
GKWLIMITED,17357,1,10.000000
OIL,17438,1,5.000000
RTNPOWER,17520,1,1.000000
JINDALPOLY,1756,1,5.000000
QUESS,17704,1,1.000000
JSWENERGY,17869,1,5.000000
GEEKAYWIRE,17922,1,1.000000
BEARDSELL,17933,1,1.000000
COHANCE,17945,1,5.000000
SBICARD,17971,1,5.000000
WHIRLPOOL,18011,1,5.000000
SBFC,18026,1,1.000000
VASCONEQ,18110,1,1.000000
PYRAMID,18250,1,1.000000
AEROFLEX,18268,1,1.000000
SANDUMA,18359,1,1.000000
KESORAMIND,1859,1,1.000000
ICICIPRULI,18652,1,5.000000
SIGNATURE,18743,1,5.000000
ENDURANCE,18822,1,10.000000
SILLYMONKS,19097,1,1.000000
UDS,19113,1,1.000000
WEALTH,1923,1,5.000000
LAURUSLABS,19234,1,5.000000
BOROLTD,19401,1,1.000000
TICL,19501,1,1.000000
UGARSUGAR,19578,1,1.000000
HONASA,19813,1,5.000000
ORISSAMINE,19931,1,10.000000
DEEPAKNTR,19943,1,10.000000
TASTYBITE,20092,1,50.000000
CANTABIL,20160,1,1.000000
M&M,2031,1,10.000000
NACLIND,20425,1,1.000000
DOMS,20551,1,10.000000
RPPINFRA,20760,1,1.000000
SUMEETINDS,20790,1,1.000000
RBZJEWEL,20874,1,1.000000
MANGLMCEM,2106,1,5.000000
NPBET,12978,1,1.000000
HARRMALAYA,1313,1,1.000000
QUICKHEAL,13116,1,1.000000
ROHLTD,13182,1,5.000000
KEC,13260,1,5.000000
AFSL,13288,1,1.000000
UTTAMSUGAR,13376,1,1.000000
